source,target,amount,timestamp
0,1,4580.0,2025-12-29T11:05:15.587553
0,2,306.0,2025-12-29T11:05:15.587553
0,3,3791.0,2025-12-29T11:05:15.587553
0,10,3209.0,2025-12-29T11:05:15.587553
0,11,406.0,2025-12-29T11:05:15.587553
0,18,546.0,2025-12-29T11:05:15.587553
0,20,2619.0,2025-12-29T11:05:15.587553
0,23,621.0,2025-12-29T11:05:15.587553
0,44,4243.0,2025-12-29T11:05:15.587553
0,47,690.0,2025-12-29T11:05:15.587553
0,61,970.0,2025-12-29T11:05:15.587553
0,68,4636.0,2025-12-29T11:05:15.587553
0,71,2956.0,2025-12-29T11:05:15.587553
0,86,368.0,2025-12-29T11:05:15.587553
0,103,3225.0,2025-12-29T11:05:15.587553
0,107,4945.0,2025-12-29T11:05:15.587553
0,140,3408.0,2025-12-29T11:05:15.587553
0,201,2774.0,2025-12-29T11:05:15.587553
0,241,2992.0,2025-12-29T11:05:15.587553
0,255,1848.0,2025-12-29T11:05:15.587553
0,284,2864.0,2025-12-29T11:05:15.587553
0,304,1006.0,2025-12-29T11:05:15.587553
0,318,3307.0,2025-12-29T11:05:15.587553
0,398,1691.0,2025-12-29T11:05:15.587553
0,434,2309.0,2025-12-29T11:05:15.587553
0,470,1810.0,2025-12-29T11:05:15.587553
0,510,4127.0,2025-12-29T11:05:15.587553
0,530,4183.0,2025-12-29T11:05:15.587553
0,541,4611.0,2025-12-29T11:05:15.587553
0,561,2781.0,2025-12-29T11:05:15.587553
0,618,1075.0,2025-12-29T11:05:15.587553
0,682,1281.0,2025-12-29T11:05:15.587553
0,854,4976.0,2025-12-29T11:05:15.587553
0,942,4619.0,2025-12-29T11:05:15.587553
0,1016,291.0,2025-12-29T11:05:15.587553
0,1113,1692.0,2025-12-29T11:05:15.587553
0,1149,4988.0,2025-12-29T11:05:15.587553
0,1169,847.0,2025-12-29T11:05:15.587553
0,1179,2721.0,2025-12-29T11:05:15.587553
0,1216,312.0,2025-12-29T11:05:15.587553
0,1290,1293.0,2025-12-29T11:05:15.587553
0,1321,2759.0,2025-12-29T11:05:15.587553
0,1352,4406.0,2025-12-29T11:05:15.587553
0,1424,3057.0,2025-12-29T11:05:15.587553
0,1440,2413.0,2025-12-29T11:05:15.587553
0,1476,1084.0,2025-12-29T11:05:15.587553
0,1551,831.0,2025-12-29T11:05:15.587553
0,1622,4118.0,2025-12-29T11:05:15.587553
0,1626,396.0,2025-12-29T11:05:15.587553
0,1650,1205.0,2025-12-29T11:05:15.587553
0,878,4741.0,2025-12-29T11:05:15.587553
1,3,4702.0,2025-12-29T11:05:15.587553
1,4,4509.0,2025-12-29T11:05:15.587553
1,8,3095.0,2025-12-29T11:05:15.587553
1,17,2075.0,2025-12-29T11:05:15.587553
1,28,4152.0,2025-12-29T11:05:15.587553
1,43,3122.0,2025-12-29T11:05:15.587553
1,45,311.0,2025-12-29T11:05:15.587553
1,49,3691.0,2025-12-29T11:05:15.587553
1,67,4657.0,2025-12-29T11:05:15.587553
1,97,2311.0,2025-12-29T11:05:15.587553
1,112,1589.0,2025-12-29T11:05:15.587553
1,175,1740.0,2025-12-29T11:05:15.587553
1,189,2663.0,2025-12-29T11:05:15.587553
1,195,4983.0,2025-12-29T11:05:15.587553
1,199,3063.0,2025-12-29T11:05:15.587553
